"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"RASGRP4",-0.0399988362690958,0.644964090313931,0.777780408444101,-0.0194773175898167,0.818958927159227,0.869093313652663,0.224822088750805,0.00784868060395263,0.02456287492654,0.0620731797997358,0.398553177968446,0.633912770719359
"TNFRSF18",-0.00979467432215037,0.917315005633897,0.95908476663109,0.037110574757251,0.675927142085591,0.77867612642647,0.0389793513591546,0.682295569988992,0.774113452563704,-0.0575553641216798,0.469749329297389,0.690335040963653
"MGAM",0.0128260090889282,0.918563707398973,0.95908476663109,0.0163425522070248,0.912551222277837,0.933071553995725,0.186705056727982,0.152473051083288,0.256779234177301,0.15374161588877,0.256252295374595,0.496607458763022
"LAT",0.0217425763101861,0.771521932701785,0.870637159092672,0.0271916888810391,0.690517120114312,0.788102596736659,0.135059562966948,0.0639425005237198,0.131806807746228,0.177459064344719,0.0101151513693623,0.0723982593381206
"IL13RA2",-0.136818271977889,0.306823169362116,0.458751083011442,-0.161430437654472,0.277175557444455,0.43371802814689,-0.113084515904087,0.366655108650785,0.482835432686639,-0.258250979618,0.028464945050207,0.129506934859807
"IFNK",-0.117841773935402,0.237673195133558,0.383335095281946,-0.0965189768310444,0.343628648636278,0.50146235951915,-0.138362965495632,0.157902640550772,0.262491916442466,-0.143068014635379,0.114674326530717,0.309941448979876
"ALOX5",-0.181242624004296,0.0080994487767202,0.0377161078578597,-0.183708629625554,0.0230716867350164,0.0865748244959598,-0.137963094213556,0.0559185802228687,0.117920953133062,-0.0707733466312529,0.263059734775915,0.500850184684193
"PTPRC",-0.068391834763189,0.0676047498036741,0.165899909835683,-0.0807641130023316,0.0621669721872582,0.165707136209485,-0.0560197487937815,0.223409782328756,0.341295971818436,0.00322249371732356,0.934906429500699,0.972655006734913
"TRAF3",0.0868242586067052,0.0358190477382422,0.105278037648902,0.135326070049456,0.0262615116788476,0.0957554175837227,0.14434317418597,0.00115331000011959,0.00543602823227101,0.0351569145314026,0.393256373897903,0.627783072805676
"UBE2N",0.11942221823331,0.0009866079137218,0.00926266263425625,0.148779268840976,0.000141947630280224,0.00223929628993088,0.0366671269164439,0.360134321457374,0.477360904044601,0.0900086594791069,0.0142200374822035,0.0865518816830181
